trip_id,start_time,end_time,headway_secs,exact_times
101-I-L_V34-B00,00:00:00,01:00:00,1200,0
101-I-L_V34-B02,05:30:00,06:30:00,600,0
101-I-L_V34-B03,06:30:00,08:30:00,600,0
101-I-L_V34-B04,08:30:00,09:30:00,600,0
101-I-L_V34-B05,09:30:00,12:30:00,540,0
101-I-L_V34-B06,12:30:00,14:00:00,540,0
101-I-L_V34-B07,14:00:00,17:30:00,548,0
101-I-L_V34-B08,17:30:00,20:30:00,600,0
101-I-L_V34-B09,20:30:00,21:30:00,400,0
101-I-L_V34-B10,21:30:00,23:00:00,675,0
101-I-L_V34-B11,23:00:00,24:00:00,720,0
101-I-S_V34-B12,00:00:00,01:00:00,1800,0
101-I-S_V34-B14,05:30:00,06:30:00,720,0
101-I-S_V34-B15,06:30:00,11:00:00,506,0
101-I-S_V34-B16,11:00:00,13:30:00,529,0
101-I-S_V34-B17,13:30:00,17:30:00,533,0
101-I-S_V34-B18,17:30:00,20:30:00,540,0
101-I-S_V34-B19,20:30:00,23:00:00,600,0
101-I-S_V34-B20,23:00:00,24:00:00,900,0
101-I-D_V34-B21,00:00:00,01:00:00,1800,0
101-I-D_V34-B23,05:30:00,09:30:00,720,0
101-I-D_V34-B24,09:30:00,13:30:00,533,0
101-I-D_V34-B25,13:30:00,17:30:00,626,0
101-I-D_V34-B26,17:30:00,21:00:00,630,0
101-I-D_V34-B27,21:00:00,23:00:00,655,0
101-I-D_V34-B28,23:00:00,24:00:00,1200,0
101-R-L_V34-B00,00:00:00,01:00:00,1800,0
101-R-L_V34-B02,05:30:00,06:30:00,450,0
101-R-L_V34-B03,06:30:00,08:30:00,480,0
101-R-L_V34-B04,08:30:00,09:30:00,514,0
101-R-L_V34-B05,09:30:00,12:30:00,514,0
101-R-L_V34-B06,12:30:00,14:00:00,540,0
101-R-L_V34-B07,14:00:00,17:30:00,548,0
101-R-L_V34-B08,17:30:00,20:30:00,600,0
101-R-L_V34-B09,20:30:00,21:30:00,450,0
101-R-L_V34-B10,21:30:00,23:00:00,675,0
101-R-L_V34-B11,23:00:00,24:00:00,900,0
101-R-S_V34-B12,00:00:00,01:00:00,1800,0
101-R-S_V34-B14,05:30:00,06:30:00,600,0
101-R-S_V34-B15,06:30:00,11:00:00,450,0
101-R-S_V34-B16,11:00:00,13:30:00,563,0
101-R-S_V34-B17,13:30:00,17:30:00,533,0
101-R-S_V34-B18,17:30:00,20:30:00,540,0
101-R-S_V34-B19,20:30:00,23:00:00,600,0
101-R-S_V34-B20,23:00:00,24:00:00,900,0
101-R-D_V34-B21,00:00:00,01:00:00,1800,0
101-R-D_V34-B23,05:30:00,09:30:00,720,0
101-R-D_V34-B24,09:30:00,13:30:00,533,0
101-R-D_V34-B25,13:30:00,17:30:00,626,0
101-R-D_V34-B26,17:30:00,21:00:00,630,0
101-R-D_V34-B27,21:00:00,23:00:00,655,0
101-R-D_V34-B28,23:00:00,24:00:00,1200,0
102-I-L_V34-B00,00:00:00,01:00:00,1800,0
102-I-L_V34-B02,05:30:00,06:30:00,720,0
102-I-L_V34-B03,06:30:00,08:30:00,800,0
102-I-L_V34-B04,08:30:00,09:30:00,720,0
102-I-L_V34-B05,09:30:00,12:30:00,600,0
102-I-L_V34-B06,12:30:00,14:00:00,600,0
102-I-L_V34-B07,14:00:00,17:30:00,600,0
102-I-L_V34-B08,17:30:00,20:30:00,491,0
102-I-L_V34-B09,20:30:00,21:30:00,600,0
