route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
101,TS,101,Recoleta - Cerrillos,,3,,00D5FF,000000
101c,TS,101c,(M) Blanqueado - Cerrillos,,3,,00D5FF,000000
102,TS,102,(M) Blanqueado - Mall Plaza Tobalaba,,3,,00D5FF,000000
103,TS,103,Providencia - San Joaquin,,3,,00D5FF,000000
104,TS,104,Providencia - Mall Plaza Tobalaba,,3,,00D5FF,000000
105,TS,105,Renca - Lo Espejo,,3,,00D5FF,000000
106,TS,106,Nueva San Martin - La Florida,,3,,00D5FF,000000
107,TS,107,Ciudad Empresarial - Av. Departamental,,3,,00D5FF,000000
107c,TS,107c,Ciudad Empresarial - Plaza Renca,,3,,00D5FF,000000
108,TS,108,Maipu - La Florida,,3,,00D5FF,000000
109,TS,109,Renca - Maipu,,3,,00D5FF,000000
109N,TS,109N,(M) Quinta Normal - Maipu,,3,,00D5FF,000000
110,TS,110,Renca - Maipu,,3,,00D5FF,000000
110c,TS,110c,Renca - Pudahuel Sur,,3,,00D5FF,000000
111,TS,111,(M) Pajaritos- Ciudad Satelite,,3,,00D5FF,000000
112N,TS,112N,Av. La Florida - Recoleta,,3,,00D5FF,000000
113,TS,113,Ciudad Satelite - (M) La Moneda,,3,,00D5FF,000000
113e,TS,113e,Ciudad Satelite - (M) La Moneda,,3,,00D5FF,000000
114,TS,114,Providencia- Mall Plaza Tobalaba,,3,,00D5FF,000000
115,TS,115,Villa El Abrazo - (M) La Moneda,,3,,00D5FF,000000
116,TS,116,Huechuraba - Santiago Centro,,3,,00D5FF,000000
117,TS,117,(M) Vespucio Norte - San Joaquin,,3,,00D5FF,000000
117c,TS,117c,Huechuraba - Providencia,,3,,00D5FF,000000
118,TS,118,Maipu - Mall Plaza Vespucio,,3,,00D5FF,000000
119,TS,119,Mapocho - Lo Espejo,,3,,00D5FF,000000
120,TS,120,Renca - (M) La Cisterna,,3,,00D5FF,000000
121,TS,121,Mapocho - Lo Espejo,,3,,00D5FF,000000
125,TS,125,(M) U. De Chile - Lo Espejo,,3,,00D5FF,000000
126,TS,126,(M) Manuel Montt - La Higuera,,3,,00D5FF,000000
408,TS,408,Renca - Mapocho,,3,,00D5FF,000000
408e,TS,408e,Renca - Mapocho,,3,,00D5FF,000000
410,TS,410,Renca - Providencia,,3,,00D5FF,000000
410e,TS,410e,Renca - Providencia,,3,,00D5FF,000000
201,TS,201,Mall Plaza Norte - San Bernardo,,3,,0067AC,FFFFFF
201e,TS,201e,Mall Plaza Norte - San Bernardo,,3,,0067AC,FFFFFF
202c,TS,202c,El Cortijo - Mapocho,,3,,0067AC,FFFFFF
203,TS,203,Huechuraba - La Pintana,,3,,0067AC,FFFFFF
203e,TS,203e,Huechuraba - La Pintana,,3,,0067AC,FFFFFF
204,TS,204,Alameda - Gabriela,,3,,0067AC,FFFFFF
204N,TS,204N,Alameda - Gabriela,,3,,0067AC,FFFFFF
204e,TS,204e,Alameda - Gabriela,,3,,0067AC,FFFFFF
205,TS,205,Santiago - Puente Alto,,3,,0067AC,FFFFFF
205e,TS,205e,Santiago - Puente Alto,,3,,0067AC,FFFFFF
206,TS,206,Centro - La Pintana,,3,,0067AC,FFFFFF
206e,TS,206e,Centro - La Pintana,,3,,0067AC,FFFFFF
207e,TS,207e,Mapocho - La Pintana,,3,,0067AC,FFFFFF
208,TS,208,Huechuraba - Centro,,3,,0067AC,FFFFFF
208c,TS,208c,Huechuraba - (M) Zapadores,,3,,0067AC,FFFFFF
209,TS,209,Alameda - El Volcan,,3,,0067AC,FFFFFF
209e,TS,209e,Alameda - El Volcan,,3,,0067AC,FFFFFF
210,TS,210,Estacion Central - Puente Alto,,3,,0067AC,FFFFFF
210v,TS,210v,Estacion Central - Puente Alto,,3,,0067AC,FFFFFF
211,TS,211,La Florida - Nos,,3,,0067AC,FFFFFF
211c,TS,211c,(M) La Cisterna - San Bernardo,,3,,0067AC,FFFFFF
211e,TS,211e,La Florida - San Bernardo ,,3,,0067AC,FFFFFF
212,TS,212,Providencia - La Pintana,,3,,0067AC,FFFFFF
213e,TS,213e,Plaza Italia - Puente Alto,,3,,FFD400,000000
214,TS,214,Santa Olga - El Cortijo,,3,,0067AC,FFFFFF
216,TS,216,Pablo De Rokha - Vitacura,,3,,0067AC,FFFFFF
217e,TS,217e,Maestranza - (M) Santa Ana,,3,,0067AC,FFFFFF
219e,TS,219e,(M) La Cisterna - Ciudad Empresarial,,3,,0067AC,FFFFFF
221e,TS,221e,Puente Alto - Matucana,,3,,0067AC,FFFFFF
223,TS,223,Ciudad Empresarial - Lo Espejo,,3,,0067AC,FFFFFF
224,TS,224,Ñuñoa - Gabriela,,3,,0067AC,FFFFFF
224c,TS,224c,(M) Vicente Valdes - Gabriela,,3,,0067AC,FFFFFF
225,TS,225,Las Condes - Bahía Catalina,,3,,0067AC,FFFFFF
226,TS,226,Mapocho - Nonato Coo,,3,,0067AC,FFFFFF
227,TS,227,Villa Frei - Pedro Aguirre Cerda,,3,,0067AC,FFFFFF
228,TS,228,(M) La Cisterna - Angelmo,,3,,0067AC,FFFFFF
229,TS,229,(M) La Moneda - La Pintana,,3,,0067AC,FFFFFF
230,TS,230,Conchalí - La Pintana,,3,,0067AC,FFFFFF
261e,TS,261e,(M) Los Heroes - San Bernardo,,3,,0067AC,FFFFFF
262N,TS,262N,(M) Macul - Villa España,,3,,0067AC,FFFFFF
264N,TS,264N,Pedro Fontova - Santo Tomas,,3,,0067AC,FFFFFF
G01,TS,G01,Villa 4 De Septiembre - Santo Tomás,,3,,0067AC,FFFFFF
G01c,TS,G01c,Villa 4 De Septiembre - Santa Rosa P. 21,,3,,0067AC,FFFFFF
G02,TS,G02,Plaza San Bernardo - Puente Los Morros,,3,,0067AC,FFFFFF
G04,TS,G04,(M) La Cisterna - Santo Tomás,,3,,0067AC,FFFFFF
G05,TS,G05,El Castillo - (M) La Cisterna,,3,,0067AC,FFFFFF
G07,TS,G07,San Francisco - Lo Herrera,,3,,0067AC,FFFFFF
G08,TS,G08,Población La Selva - (M) La Cisterna,,3,,0067AC,FFFFFF
G08v,TS,G08v,Nos - (M) La Cisterna,,3,,0067AC,FFFFFF
G09,TS,G09,Lo Blanco - Santa Margarita,,3,,0067AC,FFFFFF
G11,TS,G11,Lo Blanco - (M) Lo Ovalle,,3,,0067AC,FFFFFF
G12,TS,G12,(M) Lo Ovalle - Cementerio Metropolitano,,3,,0067AC,FFFFFF
G13,TS,G13,(M) La Cisterna - El Castillo,,3,,0067AC,FFFFFF
G14,TS,G14,Lo Blanco - Población Valle Nevado,,3,,0067AC,FFFFFF
G15,TS,G15,(M) La Cisterna - Santo Tomás,,3,,0067AC,FFFFFF
G16,TS,G16,(M) La Cisterna - Lo Blanco,,3,,0067AC,FFFFFF
G18,TS,G18,Santo Tomas - (M) Lo Ovalle,,3,,0067AC,FFFFFF
G22,TS,G22,Villa España - (M) La Cisterna,,3,,0067AC,FFFFFF
301,TS,301,Juan Antonio Ríos - Angelmó,,3,,00B33C,FFFFFF
301c,TS,301c,(M) La Cisterna - Angelmó,,3,,00B33C,FFFFFF
301e,TS,301e,(M) La Moneda - Angelmó,,3,,00B33C,FFFFFF
301c2,TS,301c2,(M) La Cisterna - Lo Blanco ,,3,,00B33C,FFFFFF
302,TS,302, (M) Santa Ana - La Pintana,,3,,00B33C,FFFFFF
302N,TS,302N,Alameda - La Pintana,,3,,00B33C,FFFFFF
302e,TS,302e,(M) Los Heroes - San Ramón,,3,,00B33C,FFFFFF
303,TS,303,Quilicura - Plaza Italia,,3,,00B33C,FFFFFF
303e,TS,303e,Quilicura - (M) Santa Ana,,3,,00B33C,FFFFFF
307,TS,307,Lo Marcoleta - Plaza Italia,,3,,00B33C,FFFFFF
307e,TS,307e,Rigoberto Jara - Plaza Italia,,3,,00B33C,FFFFFF
308,TS,308,Lo Marcoleta - Mapocho,,3,,00B33C,FFFFFF
312e,TS,312e,Quilicura -  Mapocho,,3,,00B33C,FFFFFF
313e,TS,313e,Quilicura - Estacion Central ,,3,,00B33C,FFFFFF
314,TS,314,Lo Marcoleta - Plaza Italia,,3,,00B33C,FFFFFF
314e,TS,314e,Lo Marcoleta - Plaza Italia,,3,,00B33C,FFFFFF
315e,TS,315e,Rigoberto Jara - Plaza Italia,,3,,00B33C,FFFFFF
316e,TS,316e,San Ignacio - (M) Cal Y Canto,,3,,00B33C,FFFFFF
321,TS,321,(M) Lo Ovalle - Lo Sierra,,3,,00B33C,FFFFFF
322,TS,322,(M) Bellavista De La Florida  - Jardin Alto,,3,,00B33C,FFFFFF
323,TS,323,(M) Bellavista De La Florida  - La Loma,,3,,00B33C,FFFFFF
329,TS,329,Mall Florida Center - Mall Plaza Oeste,,3,,00B33C,FFFFFF
345,TS,345,Lo Espejo - Alameda,,3,,00B33C,FFFFFF
346N,TS,346N,Lo Espejo - Alameda,,3,,00B33C,FFFFFF
348,TS,348,Rinconada - (M) Lo Ovalle,,3,,00B33C,FFFFFF
350,TS,350,Ciudad Satélite - Rinconada,,3,,00B33C,FFFFFF
350c,TS,350c,Rinconada - (M) Plaza De Maipú,,3,,00B33C,FFFFFF
385,TS,385,V. Francia -   Mall F. Center,,3,,00B33C,FFFFFF
E01,TS,E01,San Jose De La Estrella - (M) Santa Rosa,,3,,00B33C,FFFFFF
E02,TS,E02,(M) Lo Ovalle - Diego Portales,,3,,00B33C,FFFFFF
E03,TS,E03,(M) Lo Ovalle  - Jardin Alto,,3,,00B33C,FFFFFF
E04,TS,E04,Av. La Florida - (M) Franklin,,3,,00B33C,FFFFFF
E05,TS,E05,(M) La Cisterna  - (M) Bellavista De La Florida,,3,,00B33C,FFFFFF
E06,TS,E06,(M) Bellavista De La Florida  - Maria Angelica,,3,,00B33C,FFFFFF
E07,TS,E07,(M) Bellavista De La Florida  - Rojas Magallanes,,3,,00B33C,FFFFFF
E08,TS,E08,Diego Portales - (M) Bellavista De La Florida,,3,,00B33C,FFFFFF
E09,TS,E09,(M) Elisa Correa - (M) Santa Rosa,,3,,00B33C,FFFFFF
E10,TS,E10,El Hualle - Santa Rosa P21,,3,,00B33C,FFFFFF
E11,TS,E11,Diego Portales - (M) Santa Rosa,,3,,00B33C,FFFFFF
E12,TS,E12,Santa Rosa P18 - Maria Elena,,3,,00B33C,FFFFFF
E13,TS,E13,Gabriela - (M) Bellavista De La Florida,,3,,00B33C,FFFFFF
E14,TS,E14,San Jose De La Estrella - (M) Bellavista De La Florida,,3,,00B33C,FFFFFF
E15c,TS,E15c,Gabriela - (M) Bellavista De La Florida,,3,,00B33C,FFFFFF
E16,TS,E16,Gabriela - (M) Santa Rosa,,3,,00B33C,FFFFFF
E17,TS,E17,(M) Bellavista De La Florida - Las Perdices,,3,,00B33C,FFFFFF
E18,TS,E18,Hospital Padre Hurtado - (M) Bellavista De La Florida,,3,,00B33C,FFFFFF
H02,TS,H02,(M) Carlos Valdovinos - (M) Lo Vial ,,3,,00B33C,FFFFFF
H03,TS,H03,(M) Lo Ovalle - Mall Plaza Oeste,,3,,00B33C,FFFFFF
H04,TS,H04,(M) Carlos Valdovinos  -  La Victoria,,3,,00B33C,FFFFFF
H05,TS,H05,(M) Carlos Valdovinos - Pobl. Davila,,3,,00B33C,FFFFFF
H05c,TS,H05c,Pobl. Davila - (M) Departamental,,3,,00B33C,FFFFFF
H06,TS,H06,Pobl. Las Turbinas - Av. Matta,,3,,00B33C,FFFFFF
H07,TS,H07,(M) Ñuble  - (M) Lo Ovalle,,3,,00B33C,FFFFFF
H08,TS,H08,Pobl.  Las Turbinas - (M) Lo Ovalle,,3,,00B33C,FFFFFF
H09,TS,H09,Pobl. Davila - (M) Carlos Valdovinos,,3,,00B33C,FFFFFF
H12,TS,H12,Lo Espejo - (M) Franklin,,3,,00B33C,FFFFFF
H13,TS,H13,Santa Olga - Posta Central,,3,,00B33C,FFFFFF
H14,TS,H14,Mall Florida Center - (M) Franklin,,3,,00B33C,FFFFFF
I01,TS,I01,Villa Los Héroes - Hospital Borja Arriarán,,3,,00B33C,FFFFFF
I02,TS,I02,Rinconada - (M) Laguna Sur,,3,,00B33C,FFFFFF
I03,TS,I03,Villa Los Héroes - Villa Portales,,3,,00B33C,FFFFFF
I03c,TS,I03c,Valle Verde - (M) San Alberto Hurtado,,3,,00B33C,FFFFFF
I04,TS,I04,Villa El Abrazo - (M) San Alberto Hurtado,,3,,00B33C,FFFFFF
I04c,TS,I04c,Villa El Abrazo - (M) Plaza Maipu,,3,,00B33C,FFFFFF
I04e,TS,I04e,Villa El Abrazo - (M) Plaza Maipu,,3,,00B33C,FFFFFF
I05,TS,I05,Rinconada - (M) Lo Ovalle,,3,,00B33C,FFFFFF
I07,TS,I07,Rinconada - Mall Arauco Maipu,,3,,00B33C,FFFFFF
I08,TS,I08,Mall Arauco Maipú - (M) San Alberto Hurtado,,3,,00B33C,FFFFFF
I08c,TS,I08c,La Farfana - (M) Del Sol,,3,,00B33C,FFFFFF
I08N,TS,I08N,La Farfana - Alameda,,3,,00B33C,FFFFFF
I09,TS,I09,Rinconada - (M) Ula,,3,,00B33C,FFFFFF
I09N,TS,I09N,Rinconada - (M) Plaza Maipu,,3,,00B33C,FFFFFF
I09c,TS,I09c,Rinconada - (M) Las Rejas,,3,,00B33C,FFFFFF
I09e,TS,I09e,Rinconada - (M) Ula,,3,,00B33C,FFFFFF
I09v,TS,I09v,Rinconada - (M) Plaza Maipu,,3,,00B33C,FFFFFF
I10,TS,I10,Villa Los Héroes - Usach,,3,,00B33C,FFFFFF
I10N,TS,I10N,Villa Los Heroes - Alameda,,3,,00B33C,FFFFFF
I11,TS,I11,Ciudad Satelite - (M) Plaza Maipu,,3,,00B33C,FFFFFF
I12,TS,I12,Pueblito La Farfana - Mall Florida Center,,3,,00B33C,FFFFFF
I13,TS,I13,Villa Los Presidentes - (M) San Alberto Hurtado,,3,,00B33C,FFFFFF
I14,TS,I14,Mall Plaza Oeste - Estación Central,,3,,00B33C,FFFFFF
I16,TS,I16,Poblacion Santiago - Ferrocarril,,3,,00B33C,FFFFFF
I17,TS,I17,Villa Francia - Hospital San Juan De Dios,,3,,00B33C,FFFFFF
I18,TS,I18,Rinconada - (M) Ula,,3,,00B33C,FFFFFF
I20,TS,I20,Valle Verde - Marta Ossa Ruiz,,3,,00B33C,FFFFFF
I21,TS,I21,Villa Hernan Díaz - (M) Plaza Maipu,,3,,00B33C,FFFFFF
I22,TS,I22,La Farfana - (M) Del Sol,,3,,00B33C,FFFFFF
I24,TS,I24,Villa Los Maitenes - Plaza Oeste,,3,,00B33C,FFFFFF
401,TS,401,Maipu - Hospital Dipreca,,3,,F58220,000000
402,TS,402,Pudahuel - Mapocho,,3,,F58220,000000
403,TS,403,(M) Santa Ana - La Reina,,3,,F58220,000000
404,TS,404,El Descanso - Mapocho,,3,,F58220,000000
