stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PB1,PB1,PB1-Venezuela Esq. / Bolivia,-33.4045537555341,-70.623095148163,
PB2,PB2,PB2-Venezuela Esq. / H. De La Concepción,-33.402453078379,-70.6266392477005,
PB3,PB3,PB3-Reina De Chile Esq. / Avenida El Salto,-33.4012186446509,-70.6297346535453,
PB4,PB4,PB4-Pedro Donoso Esq. / San José,-33.3995046492832,-70.6315619608335,
PB5,PB5,PB5-Pedro Donoso Esq. / María Eugenia,-33.3986477874298,-70.6352858186739,
PB6,PB6,PB6-Pedro Donoso Esq. / Campanario,-33.3977725381542,-70.639020974934,
PB7,PB7,PB7-Parada 4 / (M) Dorsal,-33.3967634701456,-70.6432840123632,
PB8,PB8,PB8-Avenida Dorsal Esq. / Rubén Darío,-33.3961641627436,-70.6448707079932,
PB9,PB9,PB9-Avenida Dorsal Esq. / Lemura,-33.3957293584135,-70.6479138480248,
PB10,PB10,PB10-Avenida Dorsal Esq. / La Plata,-33.3955233303054,-70.6507700173695,
PB11,PB11,PB11-Avenida Dorsal Esq. / Diag. José M. Caro,-33.3953512506151,-70.6532060103111,
PB1587,PB1587,PB1587-Avenida Dorsal Esq. / El Guanaco,-33.395777274361,-70.6570949795036,
PB14,PB14,PB14-Avenida Dorsal Esq. / Araguayas,-33.3963471775376,-70.6614630071929,
PB15,PB15,PB15-Avenida Dorsal Esq. / Cencerro,-33.3969061013018,-70.6650260268635,
PB16,PB16,PB16-Parada 2 / Dorsal   Independencia,-33.3976016043665,-70.6691004620421,
PB18,PB18,PB18-Roma Esq. / La Primaver,-33.3992500500558,-70.6736402828553,
PB1469,PB1469,PB1469-Roma Esq. / Barón De Juras Reales,-33.400282547767,-70.676508885453,
PB1563,PB1563,PB1563-Parada 4 / Norte Sur   Dorsal,-33.4021107674555,-70.6817097162458,
PB21,PB21,PB21-Senador Jaime Guzmán Esq. / Camino Lo Ruiz,-33.4027527129289,-70.6856429512338,
PB22,PB22,PB22-Senador Jaime Guzmán Esq. / Colón,-33.4004066530036,-70.6932260452458,
PB23,PB23,PB23-Senador Jaime Guzmán Esq. / Apóstol Santiago,-33.3999755306907,-70.6964929844691,
PB24,PB24,PB24-Senador Jaime Guzmán Esq. / Caupolicán,-33.4019135147804,-70.7011779825496,
PB108,PB108,PB108-Parada 3 / Plaza Renca,-33.4051624558413,-70.7039770448682,
PJ1,PJ1,PJ1-Lo Espinoza Esq. / Samuel Izquierdo,-33.4095250712422,-70.7074308067417,
PJ2,PJ2,PJ2-Lo Espinoza Esq. / Carmen Lidia,-33.4121253474587,-70.7062679840415,
PJ3,PJ3,PJ3-Lo Espinoza Esq. / Calle 7,-33.4158424279319,-70.7046660244045,
PJ4,PJ4,PJ4-Lo Espinoza Esq. / Pasaje Antártica,-33.4182944389177,-70.7035870390207,
PJ5,PJ5,PJ5-Parada 1 / Escuela Lo Franco,-33.4207573687495,-70.7021197639942,
PJ6,PJ6,PJ6-Parada  / Escuela   Diego Portales,-33.4216880503331,-70.7021063116867,
PJ7,PJ7,PJ7-Radal Esq. / Salvador Gutiérrez,-33.424452411376,-70.7029120289475,
PJ8,PJ8,PJ8-Radal Esq. / Avenida Mapocho,-33.42820046719,-70.7039799844599,
PJ9,PJ9,PJ9-Sergio Valdovinos Esq. / Cónsul Poinsett,-33.4289713587335,-70.7066179463493,
PJ10,PJ10,PJ10-Parada 1 / Las Rejas   José J. Pérez,-33.4318725515104,-70.7071705795546,
PJ11,PJ11,PJ11-Sergio Valdovinos Esq. / Vicuña Rozas,-33.4359813304045,-70.7071499479586,
PJ12,PJ12,PJ12-Sergio Valdovinos Esq. / 9 De Julio,-33.4385443781511,-70.7071239983806,
PJ13,PJ13,PJ13-Parada 7 / (M) Blanqueado,-33.4413233464227,-70.7074100333044,
PJ14,PJ14,PJ14-Avenida Las Rejas Esq. / Santa Laura,-33.4438213723178,-70.7073840060499,
PJ15,PJ15,PJ15-Avenida Las Rejas Esq. / Avenida Portales,-33.4457715825691,-70.7073683293993,
PJ1582,PJ1582,PJ1582-Av. Las Rejas -Norte Esq. / Ciudadela,-33.4477203332804,-70.7072949646343,
PJ16,PJ16,PJ16-Avenida Las Rejas Esq. / Avenida Dorsal,-33.4491691586409,-70.7071074504447,
PJ17,PJ17,PJ17-Avenida Las Rejas Esq. / Perú,-33.4517933896048,-70.7064960723929,
PJ18,PJ18,PJ18-Parada 11 / (M) Las Rejas,-33.4567897418543,-70.7057084193965,
PI1,PI1,PI1-Avenida Las Rejas Esq. / Agustín López,-33.4606993854844,-70.7053409690017,
PI1489,PI1489,PI1489-Parada 3 / 5 De Abril   Las Rejas,-33.4643463804994,-70.705211948866,
PI3,PI3,PI3-Avenida 5 De Abril Esq. / Catalpas Pte.,-33.4657308304993,-70.7085479311269,
PI4,PI4,PI4-Avenida 5 De Abril Esq. / Los Duraznos,-33.4668222838271,-70.7105269128219,
PI5,PI5,PI5-Avenida 5 De Abril Esq. / Vista Hermosa,-33.4682712730068,-70.7136199807877,
PI6,PI6,PI6-Avenida 5 De Abril Esq. / Vista Hermosa,-33.4693791770458,-70.715973972553,
PI7,PI7,PI7-Avenida 5 De Abril Esq. / El Altarcillo,-33.4703911892229,-70.7179240150015,
PI8,PI8,PI8-Parada 2 / Liceo A70,-33.4720031897372,-70.7204157020946,
PI9,PI9,PI9-Av. Lo Errázuriz Esq. / Av. Simón Bolivar,-33.4737450673227,-70.722423019219,
PI10,PI10,PI10-Av. Lo Errázuriz Esq. / Bernard Shaw,-33.4762100483385,-70.7228909515324,
PI11,PI11,PI11-Av. Lo Errázuriz Esq. / Estrella Polar,-33.4789570798105,-70.7234000124643,
PI12,PI12,PI12-Av. Lo Errázuriz Esq. / Isabel Riquelme,-33.4815380092166,-70.724594032611,
PI13,PI13,PI13-Parada  / Parque   Lo Errázuriz,-33.4856550299845,-70.7247619613139,
PI14,PI14,PI14-Av. Lo Errázuriz Esq. / Los Presidentes,-33.4875620660968,-70.7241999795234,
PI1440,PI1440,PI1440-Av. Lo Errázuriz Esq. / Rosa E. Rodríguez,-33.4889996529735,-70.7238038884652,
PI15,PI15,PI15-Av. Lo Errázuriz Esq. / Avenida Cerrillos,-33.4913996239131,-70.7224638915678,
PI16,PI16,PI16-Av. Lo Errázuriz Esq. / Arrecife,-33.4943981214198,-70.7224189837124,
PI17,PI17,PI17-Av. Lo Errázuriz Esq. / Bello Horizonte,-33.4961471585059,-70.7209620119357,
PI18,PI18,PI18-Av. Lo Errázuriz Esq. / San Juan,-33.4974142143933,-70.7185668639835,
PI19,PI19,PI19-Av. Lo Errázuriz Esq. / Don Orione,-33.4984981895524,-70.7165529483489,
PI20,PI20,PI20-Av. Lo Errázuriz Esq. / San Marcos,-33.499858946424,-70.7139888002263,
PI21,PI21,PI21-Av. Lo Errázuriz Esq. / Av. P. Aguirre Cerda,-33.5008292920239,-70.7103920290803,
PI1321,PI1321,PI1321-Parada 3 / Colegio   Don Orione,-33.5035870026965,-70.7116057311686,
PI1323,PI1323,PI1323-Parada 3 / El Mirador,-33.5053475711511,-70.7134902078993,
